0,2023-03-12,09:25:59,LS8,"@Northpowergrid Hey, we’re in Leeds LS8 and the power to the whole building has gone out- can you shed any light?💡"
1,2023-03-11,15:29:51,BD6,@Northpowergrid power cut in BD6 any idea how long before it’s back on?
2,2023-03-11,15:14:08,LS16,"@Northpowergrid Why so many power cuts in LS16? One last week as well as today (and several over Christmas). Always the same reason, a broken fuse at local substation."
3,2023-03-11,14:51:19,S7,@Northpowergrid  power just come back on in S7. Thank you to everyone involved in sorting this out.
4,2023-03-11,13:54:28,WHY,"@Northpowergrid WHY is one of your vans parked on double yellows, opposite the site they are working on? There is adequate parking *literally* 2 minutes away. Lazy and dangerous - what if need to use a wheelchair or mobility vehicle?? https://t.co/ZzKBc2f4Te"
5,2023-03-11,13:01:08, ,Big thank you to @Northpowergrid for getting our electric on so quickly! Amazing customer service and very helpful friendly engineers! ♥️
6,2023-03-11,12:13:32, ,@Northpowergrid Still not on 😠😫
7,2023-03-11,11:23:00, ,@Northpowergrid huge thanks to the team that got power to us last night in Esholt.
8,2023-03-11,11:22:29, ,@Northpowergrid Thank you.
9,2023-03-11,11:20:23,S7,@Northpowergrid Is the power in sheffield S7 expected to be back on by 12pm today as per website?
10,2023-03-11,08:35:10, ,"We're being warned to look out for icy patches across #Yorkshire this morning as temperatures got down to -4°c in some parts. 

@Northpowergrid say power has been restored to all homes affected by yesterday's snow and ice. #CapitalReports https://t.co/YDKlBynC8a"
11,2023-03-11,08:34:51, ,"We're being warned to look out for icy patches across #Yorkshire this morning as temperatures got down to -4°c in some parts. 

@Northpowergrid say power has been restored to all homes affected by yesterday's snow and ice. #HeartNews https://t.co/7rICqPRyyf"
12,2023-03-11,07:59:53,RT,"RT @Northpowergrid: Good Morning, Kevin from #TeamPowergrid. here with you until 2 pm. If you have any power-related questions, ask away. W…"
13,2023-03-11,07:59:17, ,@Northpowergrid What was your most memorable win in world championship finals from Phil The Power Taylor?
14,2023-03-11,07:45:16,S7 2GZ,@Northpowergrid power off in S7 2GZ.
15,2023-03-10,19:43:17, ,Why is it that when there's a powercut it's only ever my half of the street? 🙃 @Northpowergrid
16,2023-03-10,18:55:19,RT,"RT @skinoverbone: Pleased that it appears that the power has returned to Darfield.  Over 900 houses with no power is no joke, especially gi…"
17,2023-03-10,17:30:01, ,"Fluid CableCare: Self-healing additive for fluid filled cables

This project was developed by Gnosys, in collaboration with industry partners @UKPowerNetworks and @Northpowergrid.

Read more about the outputs and key benefits here 👇
https://t.co/GRfL2EZ0Ij https://t.co/UwXJrI8SLy"
18,2023-03-10,16:49:28,FREE,"Power cuts can cause worry ⚡️

You could benefit from joining the FREE @NorthPowergrid Priority Services Membership if you, or someone you care for, is vulnerable 

To find out more about the service or to join, visit: https://t.co/SQkkEafu62 https://t.co/GujBgomin3"
19,2023-03-10,16:37:59,RT,"RT @Northpowergrid: Hi to our customers in #S8. Great news! Your power should now be back on, so why not put the kettle on? We appreciate y…"
20,2023-03-10,16:32:15,RT,"RT @Northpowergrid: ❄️🌨️#SNOW update

We're pushing to restore power to 3,000 customers still affected by the snow and ice. Around 33,000 c…"
21,2023-03-10,16:10:26,WF12,@Northpowergrid thanks to everyone working on power cuts in these wintry conditions. Ours in WF12 back on after a few hours outage during the night. Sorry for anyone still without leccy🥲
22,2023-03-10,15:35:23, ,"Been without electricity now since 1am @Northpowergrid - whilst it's a known issue, what can be done? 
That's quite a long while with a 2 year and 7-year-old on a cold day."
23,2023-03-10,15:11:23, ,"Feedback from @Northpowergrid following Darfield power cut. They also made reference to thei 'Priority Services Membership Scheme', where vulnerable residents can register and receive priority updates during power outages.  Apply via this link: 
https://t.co/HKpd6eBLUy https://t.co/LDQbKIyJUc"
24,2023-03-10,15:10:23, ,@Northpowergrid Sent it now
25,2023-03-10,15:05:22, ,"@Northpowergrid It’s back on now, hopefully it says on 🤞🏻"
26,2023-03-10,15:04:37,I,@Northpowergrid a story and a plea... please sort out the leccy in Newmillerdam so I can sleep... #Wakefield https://t.co/Vv94RKqjJJ
27,2023-03-10,15:01:29,ASAP,"@v8fettler @Northpowergrid @BritishGas You need to get someone to look at that ASAP, sounds like a huge fire hazard."
28,2023-03-10,14:56:14,BD17,@Northpowergrid no electric in Esholt BD17
29,2023-03-10,14:51:17,SYFR,@SYFR @Northpowergrid @katharine1991
30,2023-03-10,14:42:30, ,@Northpowergrid 6pm 😳😳😳 not good enough!
31,2023-03-10,14:39:55, ,@Northpowergrid thanks to your crews working in the snow for getting us reconnected ahead of your estimated time 🙏
32,2023-03-10,14:29:20, ,@Northpowergrid But for God's sake don't all put the kettle on at the same time
33,2023-03-10,14:28:18, ,"@Northpowergrid No it isn’t, keeps coming on and going off again, off at the moment 🥴"
34,2023-03-10,14:23:42,DH9,"@Northpowergrid If you mean DH9, it is indeed back on, thank you to your engineers for getting us powered up again... 😁"
35,2023-03-10,14:23:16, ,"@Northpowergrid Hi Kevin, any further update?"
36,2023-03-10,14:07:19,RT,"RT @SYFR: We’re aware of some power cuts affecting areas of South Yorkshire. Our tips.. ⚡️👇 

🔦 Try to use torches, rather than candles, fo…"
37,2023-03-10,14:05:58, ,"We’re aware of some power cuts affecting areas of South Yorkshire. Our tips.. ⚡️👇 

🔦 Try to use torches, rather than candles, for light 
🔌 Turn off appliances at the socket until power is restored
🧡 Check on vulnerable neighbours
💻 Follow @Northpowergrid for updates https://t.co/lKsyw6UefJ"
38,2023-03-10,13:40:14, ,@Northpowergrid Really appreciate all the hard work to get power restored. Harsh weather this last few days ❄️
39,2023-03-10,13:35:31,RT,"RT @Northpowergrid: #TeamPowergrid are working hard to restore your power, but the impact of the severe weather is causing delays to our re…"
40,2023-03-10,13:31:54,S8,@Northpowergrid do you have a update for me for Sheffield S8?
41,2023-03-10,13:20:51,I,"@Northpowergrid It’s just come back on! Oh well, I suppose I need to get back to work 😔🤣"
42,2023-03-10,13:10:53,S35,Well done to @Northpowergrid for getting our electricity back on in S35 way before the time they estimated. Great work thanks so much. 😊👏👏
43,2023-03-10,13:09:13,DL5,"@Northpowergrid Hi, are@you aware of the power outage in hieghington DL5?"
44,2023-03-10,12:52:51,I,"Pleased that it appears that the power has returned to Darfield.  Over 900 houses with no power is no joke, especially given the inclement weather.  I've contacted @Northpowergrid asking for details of the cause and an assurance that they will work to prevent it happening again."
45,2023-03-10,12:22:13, ,"@Northpowergrid just want to say what a brilliant service you give. Power off for a couple of hours late last night, kept up to date with texts. Easy to use website to check area for power cuts. Thankyou!"
46,2023-03-10,12:01:13,RT,"RT @Northpowergrid: Hi to customers in #S36. Weather conditions have caused delays to our restoration time, but #TeamPowergrid is working h…"
47,2023-03-10,11:58:14,RT,"RT @skinoverbone: Over 900 houses in Darfield, Barnsley without power.  @Northpowergrid advised off until 4.00pm.  I have asked them to kee…"
48,2023-03-10,11:21:10,HD4,"@Northpowergrid Morning Paul, HD4 has lost power again 30 mins after coming back on."
49,2023-03-10,11:11:58,RT,"RT @Northpowergrid: Our Customer Support Vehicle is on-site supporting customers affected in S75

We are located outside Kexbrough Social C…"
50,2023-03-10,11:03:31,I,"@Northpowergrid Well, I guess I'm not sleeping today then... 😂"
51,2023-03-10,11:00:40,RT,"RT @KirkleesWinter: We are are aware of some power outages affecting Honley, South Crosland and Crosland Moor.
Follow @Northpowergrid for u…"
52,2023-03-10,10:48:35,DH9,@Northpowergrid Any estimates for the repair work affecting DH9?
53,2023-03-10,10:39:18, ,"@Northpowergrid Do u know about that, what is it? https://t.co/KzDfjKcsdM"
54,2023-03-10,10:06:10,RT,"RT @skinoverbone: Over 900 houses in Darfield, Barnsley without power.  @Northpowergrid advised off until 4.00pm.  I have asked them to kee…"
55,2023-03-10,10:04:15,I,"@Northpowergrid @BritishGas Yep, multiple times… I’ve been told;

“ah, we’ll have to wait for it to completely fail to find the fault”

“It’s unlikely we’ll get to you today”

“There is an issue with monitoring equipment shortages”

So overall, a shocking level of response I’d say…"
56,2023-03-10,10:00:08,RT,"RT @HeartYorkNews: ❄️⚡Around 7,000 power cuts have been reported by @Northpowergrid across West and South #Yorkshire this morning. They say…"
57,2023-03-10,09:55:17,I,"Over 900 houses in Darfield, Barnsley without power.  @Northpowergrid advised off until 4.00pm.  I have asked them to keep me updated on timescale of repairs.  The needs of vulnerable residents and tenants must be prioritised if possible. https://t.co/quvhku1VeZ"
58,2023-03-10,09:45:16,I,"@Northpowergrid @britishgas

This has been going on since the 1st March, and so far, there’s no record of you doing anything about it.

I’m now in the ‘Snow’ back log, and this is costing me ££££… https://t.co/VwR5WIh0HF"
59,2023-03-10,09:45:14, ,@Northpowergrid Is s36 affected?
60,2023-03-10,09:41:16,S36,@Northpowergrid thanks for working in this weather. Our power has just come back on in S36👍
61,2023-03-10,09:33:48, ,"❄️⚡Around 7,000 power cuts have been reported by @Northpowergrid across West and South #Yorkshire this morning. They say road closures mean it will take a little longer to get people reconnected. #CapitalReports https://t.co/wX8jtAQR72"
62,2023-03-10,09:33:28, ,"❄️⚡Around 7,000 power cuts have been reported by @Northpowergrid across West and South #Yorkshire this morning. They say road closures mean it will take a little longer to get people reconnected. #HeartNews https://t.co/PKGfsGgrFS"
63,2023-03-10,09:06:46, ,@Northpowergrid Not ideal but can’t be helped.
64,2023-03-10,09:06:03, ,@Northpowergrid At what point are eligible for compensation? 🥶🥶🥶
65,2023-03-10,09:01:04,I,I'm sure @Northpowergrid will blame the weather but when it went off last night at 12 there was minimal snow. It seems a bit of wind or snow or just too many people turn the kettle on at the same time and oops power gone. Todays estimate for the power back is 4pm
66,2023-03-10,08:55:12, ,"Know what to do in a power cut - we’ve heard reports of some this morning in the Barnsley area, check @Northpowergrid for updates ⚡️

https://t.co/Tz8ChOkUbD"
67,2023-03-10,08:45:04, ,"@Northpowergrid Well thats a lie, had a text saying 4pm, this about the 11th power cut this year just sort it out already, more power cuts in 3months than had in 6 years previous in this area"
68,2023-03-10,08:27:54,RT,"RT @KirkleesWinter: We are are aware of some power outages affecting Honley, South Crosland and Crosland Moor.
Follow @Northpowergrid for u…"
69,2023-03-10,08:20:42,I,If like me you are currently experiencing a power cut and wondering how to keep warm etc. I found some really useful info on this site. https://t.co/YIU4rbOh3B 🤞we will have power back on soon. Thank you @Northpowergrid staff for working hard to fix the outage. Stay safe
70,2023-03-10,08:02:21, ,@Northpowergrid Thanks so much. Excellent service. The power has now come back on.
71,2023-03-10,07:58:57,RT,RT @mbillingtonitv: This and a further 980 customers without power in #S75 area of #Sheffield meaning almost 3000 properties in the city cu…
72,2023-03-10,07:58:22,S75,This and a further 980 customers without power in #S75 area of #Sheffield meaning almost 3000 properties in the city cut off. Though @Northpowergrid say power should be back on in the next hour #uksnow @itvcalendar https://t.co/qs7814vkd4
73,2023-03-10,07:57:21,WF4,"@Northpowergrid Morning , any update for WF4 please"
74,2023-03-10,07:55:02, ,@MagsMannifield @Northpowergrid My last text said noon
75,2023-03-10,07:48:50, ,"@Northpowergrid @meowkat130 Last text said 9:30, has it changed to lunchtime?"
76,2023-03-10,07:44:30,RT,"RT @KirkleesWinter: We are are aware of some power outages affecting Honley, South Crosland and Crosland Moor.
Follow @Northpowergrid for u…"
